,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Chris Livingston,MIL,20,8,5,3,24.9,9,4,5,80,1,1,100,0,0,0,1,6,7,3,1,1,0,2,24,0,0,14
1,Drew Eubanks,PHX,26,29,14,15,481.7,174,70,118,59.3,2,2,100,32,41,78,40,84,124,31,34,10,29,55,452,0,0,-103
1,Drew Peterson,BOS,24,1,1,0,2.5,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,1,5,0,0,2
1,Garrett Temple,TOR,37,6,1,5,19.1,11,4,5,80,1,1,100,2,2,100,0,2,2,3,0,1,0,0,21,0,0,12
1,Jordan Miller,LAC,23,3,3,0,11.8,5,2,3,66.7,1,1,100,0,0,0,0,1,1,0,1,0,0,2,5,0,0,-7
1,Leonard Miller,MIN,20,4,3,1,10.7,9,4,5,80,1,1,100,0,0,0,0,7,7,1,0,0,0,1,19,0,0,-6
1,Nic Claxton,BKN,24,24,10,14,660.2,278,119,193,61.7,1,1,100,39,65,60,72,158,230,43,20,10,59,57,806,9,0,-122
8,Nate Hinton,HOU,24,5,3,2,26.3,12,4,9,44.4,4,5,80,0,0,0,2,3,5,1,1,0,0,5,19,0,0,-1
9,Jordan Ford,SAC,25,6,2,4,21.8,12,4,7,57.1,2,3,66.7,2,2,100,0,2,2,2,1,0,0,0,16,0,0,14
9,Ryan Rollins,WAS,21,10,1,9,65.9,41,13,25,52,2,3,66.7,13,17,76.5,2,9,11,11,7,8,3,7,97,0,0,57
11,Mo Bamba,PHI,25,20,15,5,158.2,78,29,51,56.9,8,13,61.5,12,16,75,24,33,57,9,12,5,11,21,196,0,0,14
12,Orlando Robinson,MIA,23,14,8,6,213.2,80,31,59,52.5,7,12,58.3,11,16,68.8,18,41,59,24,13,5,7,28,210,1,0,10
13,James Bouknight,CHA,23,5,0,5,28.3,22,8,15,53.3,6,11,54.5,0,0,0,1,5,6,3,1,0,0,1,33,0,0,0
14,Jalen Smith,IND,23,21,14,7,337.8,217,83,125,66.4,24,45,53.3,27,40,67.5,30,81,111,20,20,6,8,50,402,1,0,-12
15,Stanley Umude,DET,24,15,1,14,155.2,75,20,44,45.5,14,27,51.9,21,23,91.3,3,25,28,8,10,4,5,24,138,0,0,-43
16,Jae Crowder,MIL,33,9,5,4,240.4,73,25,47,53.2,16,31,51.6,7,12,58.3,4,31,35,15,4,7,3,14,164,0,0,-55
17,Dereon Seabron,NOP,23,5,2,3,52.4,14,4,13,30.8,1,2,50,5,6,83.3,1,6,7,4,0,2,1,4,37,0,0,27
17,Dwight Powell,DAL,32,31,17,14,450.7,143,49,67,73.1,1,2,50,44,54,81.5,48,58,106,42,12,14,11,60,396,1,0,-7
17,Dylan Windler,NYK,27,3,2,1,7.4,3,1,2,50,1,2,50,0,0,0,0,1,1,1,0,0,0,1,6,0,0,8
17,Isaiah Mobley,CLE,24,3,0,3,14.2,5,2,4,50,1,2,50,0,0,0,0,2,2,4,1,1,0,2,15,0,0,-6
17,Ish Smith,CHA,35,26,5,21,439.2,100,48,95,50.5,2,4,50,2,2,100,8,37,45,85,37,8,2,28,275,0,0,-147
17,Jordan McLaughlin,MIN,27,12,7,5,62.4,19,7,15,46.7,3,6,50,2,2,100,2,3,5,15,1,6,3,3,74,0,0,9
17,Justin Minaya,POR,24,6,0,6,38.4,7,2,6,33.3,2,4,50,1,2,50,4,1,5,0,1,0,1,2,15,0,0,-11
17,Keon Johnson,BKN,21,1,0,1,20.9,12,3,8,37.5,2,4,50,4,4,100,0,1,1,1,1,1,1,1,20,0,0,-18
17,Leaky Black,CHA,24,7,0,7,40,11,5,8,62.5,1,2,50,0,0,0,2,5,7,4,1,2,3,2,39,0,0,-9
17,Nikola Jovic,MIA,20,7,2,5,80.6,34,11,21,52.4,6,12,50,6,9,66.7,4,24,28,14,6,2,1,17,92,0,0,22
17,Patty Mills,ATL,35,7,3,4,66.8,15,5,14,35.7,5,10,50,0,0,0,1,6,7,5,3,1,1,8,34,0,0,-1
17,Robin Lopez,MIL,35,9,7,2,24.6,8,2,5,40,2,4,50,2,2,100,0,2,2,2,1,0,1,3,15,0,0,2
17,TyTy Washington Jr.,MIL,22,2,1,1,5.6,3,1,3,33.3,1,2,50,0,0,0,0,1,1,0,2,1,0,0,5,0,0,3
30,Nick Smith Jr.,CHA,19,17,4,13,211.5,105,40,87,46,23,47,48.9,2,2,100,7,11,18,14,10,1,7,19,162,0,0,-63
31,Aaron Wiggins,OKC,25,31,22,9,385.8,156,60,101,59.4,16,33,48.5,20,27,74.1,20,53,73,24,17,13,3,34,311,0,0,40
32,Kevin Durant,PHX,35,28,14,14,1039.1,836,290,552,52.5,61,128,47.7,195,223,87.4,11,164,175,169,95,25,32,50,1376,6,1,100
33,Aaron Nesmith,IND,24,31,18,13,788.3,360,129,247,52.2,67,141,47.5,35,50,70,26,75,101,33,28,36,23,103,680,0,0,-11
34,Matt Ryan,NOP,26,13,6,7,298.2,121,38,83,45.8,32,68,47.1,13,14,92.9,5,25,30,14,16,5,1,24,180,0,0,28
35,Nicolas Batum,PHI,35,22,16,6,519.7,128,45,84,53.6,30,64,46.9,8,12,66.7,20,59,79,47,11,12,14,38,360,0,0,179
36,Malik Beasley,MIL,27,32,22,10,949.4,373,135,279,48.4,95,203,46.8,8,12,66.7,21,114,135,44,19,25,4,67,669,1,0,143
37,Justin Holiday,DEN,34,19,11,8,294.1,84,32,63,50.8,20,43,46.5,0,0,0,4,24,28,23,5,13,1,25,189,0,0,45
38,Lonnie Walker IV,BKN,25,17,9,8,362.1,249,88,180,48.9,44,95,46.3,29,38,76.3,3,42,45,28,25,10,7,16,371,0,0,52
39,Grayson Allen,PHX,28,28,16,12,929.3,366,125,247,50.6,67,147,45.6,49,54,90.7,24,97,121,79,40,27,16,62,719,1,0,37
40,Mike Conley,MIN,36,32,24,8,941.9,368,123,267,46.1,76,167,45.5,46,49,93.9,12,79,91,197,35,32,5,54,849,2,0,175
41,Daniel Theis,LAC,31,22,17,5,363.9,155,61,118,51.7,10,22,45.5,23,31,74.2,32,42,74,16,15,8,18,53,331,0,0,-5
41,Kenrich Williams,OKC,29,22,17,5,343.2,107,42,86,48.8,20,44,45.5,3,10,30,16,44,60,37,4,12,3,37,276,0,0,82
43,Jamal Murray,DEN,26,21,16,5,623.3,413,152,324,46.9,54,119,45.4,55,62,88.7,12,69,81,130,38,19,16,38,772,3,0,151
44,Dante Exum,DAL,28,30,18,12,585.6,280,111,193,57.5,28,62,45.2,30,40,75,18,69,87,86,26,18,5,48,556,0,0,127
45,Norman Powell,LAC,30,32,20,12,818.8,427,149,295,50.5,62,138,44.9,67,76,88.2,5,69,74,33,30,19,13,63,631,0,0,83
46,Duncan Robinson,MIA,29,31,19,12,904.1,453,156,326,47.9,96,216,44.4,45,52,86.5,9,77,86,97,38,16,5,71,727,0,0,64
