,PLAYER,3P%,CI,3PA
0,Jayson Tatum,0.3500000000004254,"(0.25225225225225223, 0.44844844844844844)",686
1,Joel Embiid,0.3300000000064851,"(0.23223223223223222, 0.42842842842842843)",200
2,Luka Doncic,0.34200000000128955,"(0.24424424424424424, 0.44044044044044045)",541
3,Shai Gilgeous-Alexander,0.3450000000008534,"(0.24724724724724725, 0.44344344344344344)",168
4,Giannis Antetokounmpo,0.2750000050936752,"(0.17717717717717718, 0.3733733733733734)",171
5,Anthony Edwards,0.36900000000002764,"(0.27127127127127126, 0.4674674674674675)",578
6,Julius Randle,0.34300000000112413,"(0.24524524524524524, 0.44144144144144143)",636
7,Donovan Mitchell,0.38600000000000206,"(0.2882882882882883, 0.4844844844844845)",635
8,Trae Young,0.33500000000333174,"(0.23723723723723725, 0.43343343343343343)",460
9,Zach LaVine,0.37500000000001127,"(0.2772772772772773, 0.47347347347347346)",544
10,Damian Lillard,0.3710000000000205,"(0.2732732732732733, 0.4694694694694695)",658
11,De'Aaron Fox,0.3240000000142328,"(0.22622622622622623, 0.4224224224224224)",367
12,DeMar DeRozan,0.32400000001423285,"(0.22622622622622623, 0.4224224224224224)",142
13,Jaylen Brown,0.33500000000333174,"(0.23723723723723725, 0.43343343343343343)",487
14,Pascal Siakam,0.32400000001423285,"(0.22622622622622623, 0.4224224224224224)",287
15,Lauri Markkanen,0.39200000000000096,"(0.29429429429429427, 0.4904904904904905)",510
16,Nikola Jokic,0.3830000000000034,"(0.2852852852852853, 0.48148148148148145)",149
17,Jalen Green,0.33800000000222347,"(0.24024024024024024, 0.4364364364364364)",554
18,Jordan Poole,0.3360000000029128,"(0.23823823823823823, 0.4344344344344344)",637
19,Mikal Bridges,0.38200000000000395,"(0.28428428428428426, 0.4804804804804805)",442
20,Stephen Curry,0.42700000000000005,"(0.32932932932932935, 0.5245245245245245)",639
21,Jalen Brunson,0.41600000000000004,"(0.3183183183183183, 0.5135135135135135)",322
22,Kyrie Irving,0.3790000000000062,"(0.28128128128128127, 0.4774774774774775)",496
23,Ja Morant,0.3070000001220491,"(0.2092092092092092, 0.40540540540540543)",300
24,LeBron James,0.3210000000209714,"(0.22322322322322322, 0.4194194194194194)",377
25,CJ McCollum,0.38900000000000123,"(0.2912912912912913, 0.4874874874874875)",543
26,Bam Adebayo,0.08819245591543097,"(0.01001001001001001, 0.18218218218218218)",12
27,Dejounte Murray,0.3440000000009796,"(0.24624624624624625, 0.44244244244244246)",387
28,Domantas Sabonis,0.3730000000000152,"(0.2752752752752753, 0.47147147147147145)",83
29,Klay Thompson,0.4120000000000001,"(0.31431431431431434, 0.5095095095095095)",731
30,Kristaps Porzingis,0.38500000000000245,"(0.2872872872872873, 0.48348348348348347)",356
31,Darius Garland,0.4100000000000001,"(0.3123123123123123, 0.5075075075075075)",412
32,Franz Wagner,0.3610000000000888,"(0.26326326326326327, 0.45945945945945943)",360
33,Devin Booker,0.3510000000003698,"(0.25325325325325326, 0.4494494494494494)",316
34,Jimmy Butler,0.3500000000004254,"(0.25225225225225223, 0.44844844844844844)",103
35,Anthony Davis,0.2570000347044318,"(0.15915915915915915, 0.35535535535535534)",74
36,Nikola Vucevic,0.34900000000048936,"(0.25125125125125125, 0.44744744744744747)",347
37,Paolo Banchero,0.29800000036331203,"(0.20020020020020018, 0.3963963963963964)",285
38,RJ Barrett,0.31000000008423506,"(0.2122122122122122, 0.4084084084084084)",390
39,Keldon Johnson,0.3290000000074003,"(0.23123123123123124, 0.4274274274274274)",407
40,Spencer Dinwiddie,0.3690000000000276,"(0.27127127127127126, 0.4674674674674675)",490
41,Kevin Durant,0.4040000000000001,"(0.3063063063063063, 0.5015015015015015)",230
