,PLAYER_ID,PLAYER,BAYESIAN_3P%,LOWER_BOUND,UPPER_BOUND,SEASON_3P%,HISTORICAL_3P%
5,1628960,Grayson Allen,0.39479905437352303,0.2972972972972973,0.4924924924924925,0.4727272727272727,0.3947990543735225
7,1630631,Jose Alvarado,0.3221288515587492,0.22422422422422422,0.42042042042042044,0.3835616438356164,0.32212885154061627
22,1631230,Dominick Barlow,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.25,0.0
27,1641734,Emoni Bates,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.25,0.0
31,1627736,Malik Beasley,0.3747381023645733,0.27627627627627627,0.4724724724724725,0.47115384615384615,0.3747381023645615
37,1629048,Goga Bitadze,0.2490119357234207,0.15115115115115116,0.34734734734734735,0.2857142857142857,0.2490118577075099
42,1629626,Bol Bol,0.293333333964851,0.19519519519519518,0.3913913913913914,0.6,0.29333333333333333
46,1630547,James Bouknight,0.31645569623999825,0.2182182182182182,0.4144144144144144,0.5454545454545454,0.31645569620253167
58,1630535,Greg Brown III,0.2941176476346559,0.1961961961961962,0.3923923923923924,0.3333333333333333,0.29411764705882354
59,1629718,Charlie Brown Jr.,0.18520536925065154,0.08708708708708708,0.2832832832832833,0.3333333333333333,0.18518518518518517
65,1630215,Jared Butler,0.34313725490306396,0.24524524524524524,0.44144144144144143,0.4166666666666667,0.3431372549019608
68,203484,Kentavious Caldwell-Pope,0.36540632054180755,0.26726726726726724,0.46346346346346345,0.3983739837398374,0.3654063205417607
82,201144,Mike Conley,0.38230819387090137,0.28428428428428426,0.4804804804804805,0.4514285714285714,0.38230819387089765
87,1628470,Torrey Craig,0.3454821564168955,0.24724724724724725,0.44344344344344344,0.3815789473684211,0.3454821564160972
88,203109,Jae Crowder,0.3426183844022989,0.24424424424424424,0.44044044044044045,0.5161290322580645,0.3426183844011142
96,201942,DeMar DeRozan,0.2911877402755142,0.1931931931931932,0.3893893893893894,0.34408602150537637,0.29118773946360155
107,1627739,Kris Dunn,0.3125000000616732,0.21421421421421422,0.41041041041041043,0.34146341463414637,0.3125
115,1629234,Drew Eubanks,0.298507463028501,0.20020020020020018,0.3963963963963964,1.0,0.29850746268656714
119,1630201,Malachi Flynn,0.3350383631746702,0.23723723723723725,0.43343343343343343,0.35,0.3350383631713555
120,1631323,Simone Fontecchio,0.32984293194379405,0.23223223223223222,0.4274274274274274,0.3987730061349693,0.3298429319371728
121,1630259,Jordan Ford,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.6666666666666666,0.0
132,202331,Paul George,0.38133181559476825,0.2832832832832833,0.4794794794794795,0.40977443609022557,0.3813318155947638
139,1631367,Jacob Gilyard,0.33333333333749793,0.23523523523523523,0.4314314314314314,0.4423076923076923,0.3333333333333333
143,201569,Eric Gordon,0.37057522123895986,0.27227227227227224,0.46846846846846846,0.4090909090909091,0.37057522123893805
