PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
1,DeMar DeRozan,CHI,34,70,33,37,37.6,23.3,7.9,16.6,47.4,0.9,2.8,33.2,6.6,7.6,86,0.6,3.7,4.3,5.3,1.5,1.1,0.6,2.1,39.9,6,0,-1.2
2,Miles Bridges,CHA,26,60,14,46,37.6,21.2,8.2,17.8,45.9,2.3,6.5,35.2,2.5,3.1,81,1.1,6.4,7.5,3.3,2.1,1,0.5,1.8,37.5,18,0,-9.5
3,Luka Doncic,DAL,25,62,39,23,37.5,34,11.6,23.8,48.6,3.9,10.4,37.3,7,8.9,78.7,0.8,8.2,9,9.9,4,1.5,0.5,2,61.8,42,19,3.3
4,Tyrese Maxey,PHI,23,63,38,25,37.3,25.8,9,20,44.9,3,8,37.9,4.8,5.5,86.7,0.5,3.1,3.6,6.1,1.7,1,0.5,2.2,42,7,0,3.6
5,Kevin Durant,PHX,35,65,37,28,37.2,27.6,10.1,19.1,52.8,2.2,5.3,41.8,5.1,6,85.4,0.5,6.1,6.7,5.3,3.3,0.9,1.3,1.8,46.7,13,1,3.7
6,Coby White,CHI,24,69,32,37,36.6,19.3,6.8,15.3,44.6,2.8,7.2,38.2,2.9,3.4,84.4,0.6,4.1,4.7,5.2,2.2,0.7,0.2,2.3,33.4,5,0,-0.3
7,Trae Young,ATL,25,51,22,29,36.5,26.4,8.2,19.3,42.6,3.3,8.9,37.1,6.6,7.8,85.6,0.4,2.3,2.7,10.8,4.3,1.4,0.2,2.1,46.4,35,0,-2.2
8,Fred VanVleet,HOU,30,64,35,29,36.5,16.8,5.6,13.5,41.3,3.1,7.9,38.7,2.6,3,86.5,0.4,3.3,3.7,8.2,1.8,1.3,0.8,2.3,38.1,19,0,3
9,Domantas Sabonis,SAC,27,71,42,29,35.9,19.8,7.9,13.1,60.8,0.4,1.1,40.8,3.5,5,71,3.5,10.2,13.7,8.3,3.3,0.9,0.6,3.1,49.9,67,25,0.9
10,Devin Booker,PHX,27,58,36,22,35.8,27.4,9.7,19.6,49.5,2.2,6,36.4,5.8,6.6,88,0.8,3.9,4.8,6.9,2.5,0.9,0.4,3.1,45,12,0,4.8
11,Jayson Tatum,BOS,26,67,53,14,35.8,27.3,9.2,19.5,47.3,3.2,8.3,37.9,5.7,6.8,83.1,0.9,7.3,8.2,4.9,2.6,1,0.6,2,46.8,23,0,9.1
12,De'Aaron Fox,SAC,26,63,38,25,35.7,26.7,9.8,20.9,46.8,2.8,7.7,36.2,4.3,6,72.7,1,3.5,4.5,5.7,2.7,2,0.4,2.6,45.1,5,0,3.1
13,Anthony Davis,LAL,31,67,38,29,35.6,24.6,9.4,16.9,55.8,0.3,1.2,28,5.4,6.7,81.2,3.1,9.4,12.5,3.6,2,1.2,2.4,2.4,53.7,56,2,1.1
14,Julius Randle,NYK,29,46,29,17,35.4,24,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,2.2,7,9.2,5,3.5,0.5,0.3,2.7,41.4,18,1,4.7
15,Dejounte Murray,ATL,27,68,30,38,35.4,22.3,8.5,18.3,46.3,2.5,6.8,36.6,2.8,3.5,80.3,0.8,4.5,5.3,6.2,2.4,1.5,0.3,1.7,40.7,16,0,-1.7
